EmployeId,Name,Gender,Age,MaritalStatus,Turnover,Travelling,Vertical,Qualifications,Education,Satisfaction,Engagement,Level,Role,Daily,Hour,Monthly,MonthlyRate,Work Experience,OverTime,SalaryHike,Last Rating,Hours,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
IDSL227,Aaliyah,F,40,Single,No,Sometimes,Sales,3,Medical,4,2,2,Sales Executive,129,97,6287,4984,1,Yes,23,4,80,1,3,13,8,4,1,2
IDSL030,Aaron,M,46,Married,No,No,Sales,4,Marketing,4,3,2,Sales Executive,134,64,4866,24079,9,No,18,3,80,2,3,8,7,7,7,23
IDRD581,Abby,F,49,Single,No,Sometimes,Research & Development,3,Medical,4,3,4,Research Director,934,82,19833,25706,5,Yes,14,3,80,2,4,7,7,0,7,13
IDRD633,Abel,M,29,Married,No,Sometimes,Research & Development,5,Life Sciences,4,3,3,Healthcare Representative,1201,32,7854,3642,1,No,19,3,80,3,2,10,9,1,8,13
IDRD122,Abigail,F,54,Married,No,Sometimes,Research & Development,3,Medical,1,1,4,Research Director,1478,42,18731,13254,2,No,13,3,80,3,3,6,2,0,1,1
IDRD438,Abraham,M,49,Divorced,No,Mostly,Research & Development,1,Life Sciences,1,2,5,Healthcare Representative,1169,89,13156,11590,3,No,13,3,80,3,2,1,0,0,0,1
IDRD429,Ada,F,33,Single,No,Sometimes,Research & Development,4,Life Sciences,4,2,2,Healthcare Representative,1378,36,4222,16148,1,No,15,3,80,2,3,6,5,0,7,9
IDRD067,Adam,M,40,Single,No,No,Research & Development,3,Life Sciences,3,3,1,Research Scientist,541,73,2109,12341,5,No,24,4,80,3,3,3,1,2,0,4
IDSL343,Addie,F,35,Single,Yes,Sometimes,Sales,1,Medical,3,3,1,Human Resources,1112,84,3644,13423,5,Yes,13,3,80,2,3,1,0,0,0,2
IDSL177,Addison,F,29,Married,No,Sometimes,Sales,3,Marketing,1,3,2,Sales Executive,156,100,5262,14152,7,No,15,3,80,1,3,5,2,0,3,20
IDHR053,Adele,F,25,Married,No,Sometimes,Human Resources,2,Human Resources,4,4,2,Sales Executive,755,90,6767,12899,1,Yes,20,4,80,3,3,10,6,1,8,1
IDRD590,Adeline,F,27,Single,No,No,Research & Development,3,Life Sciences,1,2,3,Manufacturing Director,1299,65,9669,20298,1,No,12,3,80,2,1,5,4,1,3,2
IDSL090,Adrian,M,32,Single,Yes,Sometimes,Sales,3,Medical,2,3,3,Sales Executive,558,64,8487,26413,0,Yes,11,3,80,0,3,10,7,4,8,10
IDRD440,Adriana,F,41,Married,Yes,Sometimes,Research & Development,3,Medical,4,3,1,Research Scientist,791,94,3637,13725,2,Yes,14,3,80,5,3,7,0,1,3,20
IDRD715,Adrianna,F,31,Divorced,Yes,Mostly,Research & Development,1,Life Sciences,1,3,1,Research Scientist,890,72,4932,15105,0,No,20,4,80,5,3,2,2,1,2,20
IDRD525,Adrienne,F,36,Single,Yes,Sometimes,Research & Development,4,Medical,4,3,1,Research Scientist,141,56,3621,10089,3,Yes,11,3,80,4,2,3,2,4,0,9
IDRD305,Agnes,F,51,Single,No,Sometimes,Research & Development,3,Life Sciences,1,3,4,Research Director,468,98,19450,22562,1,No,14,3,80,2,2,14,15,15,16,10
IDRD384,Aidan,M,42,Divorced,No,No,Research & Development,4,Technical Degree,4,3,5,Manager,1032,85,18708,4051,4,No,13,3,80,2,3,2,1,2,2,21
IDRD241,Aiden,M,30,Divorced,No,Sometimes,Research & Development,3,Medical,3,3,1,Research Scientist,842,60,2876,5880,1,No,15,3,80,3,3,6,5,0,5,3
IDRD827,Aileen,F,34,Divorced,No,Sometimes,Research & Development,3,Life Sciences,3,2,2,Healthcare Representative,1003,49,6187,14328,1,Yes,19,3,80,3,3,11,0,1,0,18
IDRD599,Aimee,F,40,Divorced,No,Sometimes,Research & Development,3,Medical,2,3,2,Healthcare Representative,1225,69,18534,12313,2,No,14,3,80,4,1,1,0,0,0,2
IDSL358,Alaina,F,46,Single,No,Sometimes,Sales,2,Life Sciences,1,1,1,Sales Representative,978,30,2500,8479,1,No,15,3,80,3,1,2,4,2,2,4
IDSL058,Alan,M,42,Divorced,No,Sometimes,Sales,3,Marketing,2,1,2,Sales Executive,1055,99,4240,4000,5,No,16,3,80,0,3,3,2,0,0,10
IDSL282,Alana,F,44,Married,No,Mostly,Sales,2,Medical,3,3,2,Sales Executive,453,89,4502,14440,0,No,21,4,80,4,3,3,2,0,2,2
IDRD088,Albert,M,29,Single,Yes,Sometimes,Research & Development,3,Life Sciences,1,4,1,Research Scientist,535,87,3305,19991,3,Yes,14,3,80,3,2,0,0,0,6,1
IDRD532,Alberta,F,22,Married,Yes,Sometimes,Research & Development,1,Medical,3,3,1,Research Scientist,1252,34,2899,23787,1,Yes,18,3,80,5,3,8,3,1,6,10
IDRD577,Alberto,M,34,Divorced,No,No,Research & Development,4,Medical,4,3,2,Healthcare Representative,122,33,5509,7401,7,No,14,3,80,2,3,9,9,1,8,23
IDRD625,Alec,M,39,Married,Yes,No,Research & Development,4,Medical,2,2,2,Healthcare Representative,207,67,4707,9981,0,No,18,3,80,1,3,9,0,0,1,25
IDSL317,Alejandra,F,40,Divorced,No,Sometimes,Sales,2,Marketing,2,4,4,Sales Executive,261,40,10167,18049,1,No,11,3,80,2,3,22,12,15,11,16
IDSL165,Alejandro,M,50,Single,Yes,Sometimes,Sales,2,Medical,3,3,3,Sales Executive,1490,74,11666,2243,3,Yes,19,3,80,3,3,1,0,0,0,8
IDSL076,Alex,M,30,Married,Yes,Sometimes,Sales,3,Other,4,2,3,Sales Executive,1327,77,8779,22059,3,No,11,3,80,4,3,8,8,5,7,2
IDSL173,Alexa,F,56,Single,No,Mostly,Sales,3,Technical Degree,2,3,3,Sales Executive,1315,36,19319,21739,8,Yes,16,3,80,2,3,10,0,0,8,19
IDRD057,Alexander,M,51,Married,No,Mostly,Research & Development,4,Life Sciences,3,3,1,Laboratory Technician,142,60,2056,17325,2,Yes,19,3,80,3,4,8,7,0,3,5
IDSL091,Alexandra,F,42,Married,No,Sometimes,Sales,3,Life Sciences,3,2,1,Sales Representative,637,56,2830,14968,1,No,13,3,80,3,4,13,16,5,17,7
IDRD418,Alexandria,F,36,Single,No,Mostly,Research & Development,2,Medical,4,3,2,Manufacturing Director,637,87,4458,23091,8,No,13,3,80,4,2,10,7,0,0,4
IDRD729,Alexia,F,38,Single,No,Sometimes,Research & Development,3,Other,3,2,3,Manufacturing Director,230,100,5500,23732,0,No,13,3,80,2,3,16,11,1,17,27
IDRD136,Alexis,F,33,Married,No,Sometimes,Research & Development,3,Medical,1,3,3,Manufacturing Director,794,92,13207,13130,0,No,13,3,80,2,2,5,2,3,2,7
IDRD563,Alexis,M,48,Married,No,Sometimes,Research & Development,2,Medical,4,3,3,Healthcare Representative,503,83,5458,23662,7,No,20,4,80,2,3,1,1,0,8,7
IDRD762,Alfonso,M,45,Divorced,No,No,Research & Development,4,Life Sciences,3,4,2,Manufacturing Director,403,68,4209,12072,1,No,14,3,80,0,3,10,9,1,2,13
IDRD209,Alfred,M,49,Divorced,No,Sometimes,Research & Development,3,Life Sciences,2,1,2,Manager,688,52,16140,17376,2,No,17,3,80,2,3,5,2,1,2,15
IDSL301,Alfredo,M,35,Married,No,Sometimes,Sales,3,Medical,2,3,2,Sales Executive,533,88,4106,13521,2,Yes,13,3,80,2,3,3,2,1,2,4
IDRD074,Alice,F,34,Married,No,Sometimes,Research & Development,3,Technical Degree,1,4,2,Healthcare Representative,111,51,4564,14657,0,No,11,3,80,2,2,14,7,1,8,3
IDRD213,Alicia,F,34,Divorced,No,No,Research & Development,2,Life Sciences,3,2,2,Manufacturing Director,693,52,4026,11429,2,No,23,4,80,1,3,4,2,0,3,1
IDSL422,Alina,F,56,Married,No,No,Sales,4,Marketing,4,3,4,Sales Executive,618,35,17630,2243,1,No,22,4,80,3,2,10,8,0,4,18
